Team,Played,Wins,Draws,Losses,Goals_For,Goals_Against,Points
Villarreal,38,20,10,8,71,45,70
Getafe,38,12,10,16,42,54,46
Real Madrid,38,27,8,3,85,30,89
Osasuna,38,12,15,11,45,50,51
Barcelona,38,29,5,4,92,35,92
Sevilla,38,17,9,12,54,47,60
Atletico Madrid,38,23,10,5,70,30,79
Valencia,38,11,12,15,46,57,45
Athletic Bilbao,38,19,6,13,61,44,63
Betis,38,14,15,9,48,45,57
Girona,38,13,8,17,49,60,47
Real Sociedad,38,16,12,10,51,39,60
Celta Vigo,38,10,11,17,43,55,41
Mallorca,38,13,10,15,42,48,49
Rayo Vallecano,38,11,11,16,39,55,44
Alaves,38,10,9,19,36,46,39
Las Palmas,38,10,8,20,33,55,38
Cadiz,38,6,15,17,26,55,33
Granada,38,6,9,23,38,79,27
Almeria,38,3,12,23,43,75,21
